reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.341,42.11,30,0,-11.55,10,0.1,50,15,57.94,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,60,2,-3.44,10,10,300
0.314,46.96,30,0,-8.23,10,0.1,50,15,60,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,60,2,0,10,10,300
0.322,42.16,30,0,-9.11,10,0.1,50,15,60,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,54.94,2,0,10,10,300
0.319,47.81,30,0,-7.7,10,0.1,50,15,59.42,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,40.41,2,0,10,10,300
0.352,17.93,30,0,-6.12,10,0.1,50,15,40.88,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,43.94,2,0,10,10,300
0.349,15,30,0,-2.58,10,0.1,50,15,55.44,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,30,0.31,0,10,10,300
0.346,15,30,0,-3.03,10,0.1,50,15,39.01,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,37.24,0,0,10,10,300
0.338,36.42,30,0,-10.71,10,0.1,50,15,42.43,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,43.93,0,0,10,10,300
0.33,15,30,0,0,10,0.1,50,15,40.8,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,46.04,0,0,10,10,300
0.375,15,30,0.22,0,10,0.1,50,15,30,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,40.13,0.09,0,10,10,300
0.213,24.4,45.89,0.69,0,1,9.39,265.2,23.52,44.25,0.9,-3.84,3.99,4.82,205.69,50.69,40.02,0.51,-2.77,8.51,7.78,73.19,58.65,44.64,1.62,-5.45,2.23,1.79,300
0.198,60,39.81,2,0,1,6.4,298.15,60,60,0.28,-8.1,1,7.87,269.01,42.52,30,0,-3.72,9.49,10,239.25,60,42.35,1.34,-9.41,1,8.4,214.62
0.179,60,35.95,2,0,1,1.35,300,45.81,60,0,-3.93,3.6,7.44,155.15,46.83,49.87,0.49,-5.73,7.12,10,206.43,60,53.41,2,-15,1,10,265.58
0.194,60,30,2,-4.83,1,0.1,186.9,43.8,60,0,0,1,10,221.39,38.8,60,0,-6.42,8.55,10,300,60,48.39,2,-15,1,10,50
0.202,60,30,2,-1.74,1,0.1,252.17,23.83,57.26,0,0,1,4.25,300,60,60,0,0,10,10,151.19,60,58.18,2,-15,1,10,50
