reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.392,15,54.52,1.89,0,10,2.62,300,15,60,0,0,1,10,50,60,30,2,-15,10,10,300,38.27,30,2,-6.33,1,0.1,293.31
0.333,15,41.75,0,0,10,0.1,300,42.08,60,0,0,1,9.94,50,60,30,2,-15,10,10,300,60,30,2,-7.17,1,0.1,275.02
0.33,15,46.13,0,0,10,0.1,300,52.49,60,0.29,0,1,10,50,60,30,2,-15,10,10,300,60,30,2,-11.68,1,0.1,300
0.406,15,30,0,0,10,0.1,300,15,60,0.62,0,1,10,50,60,30,2,-15,10,10,300,60,30,2,-15,1,0.1,300
0.336,15,30,0,0,10,0.1,300,60,60,0,0,1,10,50,60,30,2,-15,10,10,300,60,45.14,2,-12.96,1,0.1,300
0.351,15,30,0,0,10,0.91,300,60,60,0,0,5.09,10,50,60,30,2,-15,10,10,300,60,32.46,2,-14.47,1,0.1,300
0.341,15,30,0,0,10,10,300,60,60,0.19,0,4,10,50,60,30,2,-15,6.72,10,300,60,37.18,2,-15,1,0.1,55.97
0.336,15,30,0,0,10,6.39,300,60,60,0.49,0,1,10,50,60,30,2,-15,10,10,300,60,60,2,-15,1,0.1,50
0.297,15,57.42,0,0,10,0.1,300,60,60,0,0,1,10,50,60,30,2,-15,10,10,300,60,60,2,-15,1,0.1,50
0.316,15,57.44,0,0,10,0.1,300,60,60,1.81,0,1,10,50,60,30,2,-15,10,10,300,60,60,2,-15,1,0.1,50
0.299,15,52.71,0,0,10,0.1,300,60,60,0.33,-1.54,1,10,50,60,30,2,-15,7.74,10,261.96,60,60,2,-15,1,0.1,50
0.285,15,60,0,0,10,0.1,300,60,60,0,0,1,10,50,60,30,2,-15,2.48,10,300,60,60,2,-15,1,0.1,50
0.277,15,60,0,0,10,0.1,300,60,60,0.37,0,1,10,50,60,30,2,-15,1.1,10,54.12,60,60,2,-15,1,0.1,50
0.282,15,60,0.24,0,10,0.1,300,60,60,0.71,-5.96,1,10,50,60,30,2,-15,1,10,50,60,60,2,-15,1,0.1,50
0.275,15,60,0,0,10,0.1,300,60,60,0,0,1,10,50,60,30,2,-15,1,10,50,60,46.05,2,-15,1,0.1,50
0.293,15,60,0,0,10,0.1,300,60,60,0,0,1,10,50,60,30,2,-15,1,10,50,60,59.76,2,-15,2.43,0.1,50
0.272,15,60,0,0,10,0.1,300,60,60,0,0,1,9.63,50,60,30,2,-15,1,10,50,60,54.88,2,-15,1,0.1,50
0.278,15,60,0,0,10,0.1,300,60,60,0,0,1,10,50,60,30,2,-15,1,10,50,60,40.36,2,-15,1,0.1,50
0.275,15,60,0,0,10,0.1,300,60,60,0,0,1,10,50,60,30,2,-15,1,10,50,60,48.28,2,-15,1,0.1,50
0.311,18.54,44.32,1.09,-0.77,10,0.1,130.02,47.84,52.56,2,-11.93,7.91,3.28,196.81,60,51.91,0.74,-0.65,1.18,0.1,67.02,60,60,0,-4.41,3.88,8.09,134.39
0.349,15,44.73,1.15,-7.27,8.46,0.1,50,60,59.34,1.01,-11.27,9.02,1.13,198.09,60,52.71,2,0,5.2,3.69,50,60,60,0,-13.91,1,10,88.34
0.279,15,34.54,0.64,-0.82,3.02,4.31,123.89,60,60,0.28,0,10,0.1,249.61,60,30.68,2,0,4.74,6.71,50,60,60,0,-3.39,1,10,50
0.26,15,30,0.18,0,1,0.1,186.77,60,56.87,0.22,0,7.55,0.1,221.67,60,43.73,2,-0.22,5.05,3.55,50,60,60,0.07,-14.12,1,10,71.24
0.295,15,30,0.23,0,1,0.1,143.29,60,60,0,0,3.3,0.1,274.38,60,30,2,0,5.23,4.39,50,60,47.76,0,-0.62,1,10,55.73
0.32,15,30,0,0,1,0.1,79,60,60,0,0,1,0.1,109.45,60,30,2,0,4.65,3.21,50,60,30,0,-10.76,1,10,218.91
0.332,15,30,0,0,1,0.1,50,60,60,1.27,0,1,4.19,100.97,60,30,2,0,4.35,0.1,50,60,30,0,-11.23,1,10,297.76
0.329,15,30,0,0,1,0.1,50,60,60,1.07,0,1.2,0.78,102.37,60,30,2,-1.21,1,3.66,50,55.92,30,0,0,1,10,109.31
0.324,15,30,0,0,1,0.1,104.94,60,60,0.06,0,2.68,2.27,50,60,30,2,-4.17,1,8.28,50,34.48,30,0.02,0,1,10,50
0.294,22.53,30,0,0,1,0.1,50,60,60,0,0,2.51,1.33,91.61,60,30,2,0,1,1.94,50,40.82,30,0,0,1,10,50
0.309,50.04,30,0,-0.74,1,0.11,50,60,60,0,0,2.74,10,56.86,60,30,2,0,1,0.1,50,15,30,0.38,0,1,10,50
0.301,44.34,30,0,0,1,1.17,50,60,60,0.63,0,1,8.82,55.73,49.05,30,2,0,1,0.1,50,19.38,30,0,0,1,10,140.23
0.326,45.45,30,0,0,2.1,0.1,50,60,60,0.84,0,1,6.17,50,60,30,2,0,1,0.1,50,15,30,1.53,0,1,10,277.82
0.32,60,30,0,0,5,1.72,50,60,60,0.73,0,1,10,50,60,30,2,0,1,0.1,50,15,30,1.03,0,1,10,300
0.328,60,30,0,-1.57,1,1.45,50,60,60,0.88,0,1,10,50,60,30,2,0,1,0.1,50,15,30,1.62,0,1,10,146.4
0.322,60,30,0,-15,1,10,50,60,60,0,0,2.55,10,50,60,30,2,0,1,0.1,50,15,30,1.98,0,1,10,180.61
0.325,60,30,0,-13.54,1,9.85,50,60,60,0.87,0,4.12,10,50,60,30,1.24,0,1,0.1,50,15,32.17,2,0,1,10,300
0.323,60,30,0,-0.46,1,8.66,50,60,60,0.56,0,1.05,10,50,60,30,0.81,-1.62,1,0.1,50,15,30,1.78,0,1,10,300
0.308,60,30,0,-4.58,1,10,50,60,60,1.52,0,1,10,50,60,30,0,-3.1,1,0.1,50,33.43,30,2,0,1,10,300
0.295,60,30,0,-1.96,1,2.39,50,60,60,2,0,1,10,50,60,30,0,-2.48,1,6.99,50,15,49.42,0.38,0,1,10,300
0.272,60,30,0,-5.56,1,0.1,50,60,60,0.93,0,1,10,50,60,30,0,-4.17,1,10,50,46.7,34.3,0,0,1,10,219.93
0.257,60,30,0,0,1,0.1,50,60,60,0,0,1,10,50,60,30,0,-7.12,1,10,146.4,59.12,38.93,0.15,0,1,10,300
0.282,60,30,0,0,1,0.1,50,60,60,0,0,1,10,50,60,30,0,-13.23,1,10,96.35,60,30.31,1.13,0,1,10,300
0.277,60,30,0,0,1,0.1,50,60,60,0,0,1,10,50,60,30,0,-3.77,1,10,182.63,60,30,0.43,0,1,10,300
0.268,60,30,0,0,1,0.1,50,60,60,0.3,0,1,10,50,60,30,0,-2.07,1,10,249.71,60,33,0,0,1,10,300
0.257,60,30,0,0,1,0.1,50,60,60,1.11,0,1,10,50,60,30,0,-13.78,1,10,300,60,51.46,0,0,1,10,300
0.25,36.66,30,0,0,1,0.1,50,59.07,60,0.49,0,1,10,50,60,30,0,0,1,10,300,60,60,0,0,1,10,300
0.222,60,30,0,0,1,0.1,50,39.05,60,0.48,0,1,10,50,60,37.46,0,0,1,10,236.49,60,60,0,0,1,10,300
0.234,60,30,0,0,1,0.1,50,60,60,0.66,0,1,10,50,60,34.38,0,0,1,10,300,60,60,0,0,1,10,300
0.254,46.12,30,0,0,1,0.1,50,60,60,0.44,0,1,10,186.02,60,30,0.15,0,1,10,300,60,60,0.59,0,1,10,300
0.294,60,60,0.28,-4.35,8.85,0.1,99.48,54.2,30,1.15,-5.47,7.04,0.1,300,47.21,60,0.03,-3.24,5.31,0.16,141.43,54.78,31.84,0.47,0,4.33,6.68,300
0.368,60,49.66,0,0,10,0.1,247.94,23.13,30,0.83,-1.47,10,0.1,300,15,60,0.96,0,5.91,2.79,212.01,15,30,2,-12.07,1,0.1,57.22
0.406,60,31.3,0,-0.06,10,0.1,300,50.83,30,1.51,0,10,0.1,198.77,15,60,0.06,0,10,0.1,163.45,15,30,2,-15,7.05,0.1,124.38
0.423,60,30,0,-5.77,10,0.1,300,41.21,30,0,0,9.02,0.1,167.9,15,60,2,0,10,0.1,300,15,30,1.74,-15,10,0.1,50
0.432,60,30,0,-7.56,10,0.1,300,30.95,30,0,0,10,0.1,300,15,60,2,0,10,0.1,300,15,30,1.6,-15,10,0.1,50
0.47,60,30,0.15,-15,10,0.1,300,21.94,30,0.11,0,4.76,0.1,205.39,15,60,2,-6.59,9.41,0.1,300,17.91,30,1.13,-15,10,0.1,50
0.475,60,30,2,-10.72,10,0.1,282.2,17.46,30,0.39,0,1.65,0.1,135.39,15,60,2,-3.89,9.19,0.1,300,15,30,1.33,-15,10,0.1,127.36
0.443,60,30,2,-15,10,0.1,244.37,55.04,47.34,0.06,0,1,0.1,50,15,60,2,0,7.63,0.1,294.67,15,30,0.66,-15,10,0.1,78.23
0.441,60,30,2,-15,10,0.1,168.89,60,60,1.27,0,1,0.1,50,15,60,2,0,5.89,0.1,229.96,15,30,0,-15,10,0.1,219.25
0.444,60,30,2,-15,10,4.5,232.9,60,60,1.51,0,2.39,0.1,50,15,60,2,-10.83,10,0.1,204.38,15,30,0,-15,10,0.1,50
0.409,60,30,2,-6.98,10,10,157.86,60,60,1.85,0,1,0.1,50,15,60,2,-8.35,10,0.1,50,15,30,0,-15,10,0.1,112.32
0.395,60,30,2,0,10,3.5,50,60,60,2,0,1,0.1,50,15,60,2,-7.81,10,0.1,50,15,30,0,-15,10,0.1,171.14
0.381,60,30,2,0,10,10,223.78,56.18,60,0.81,0,1,0.1,50,15,60,2,0,10,0.1,50,15,30,0.19,-15,10,0.1,132.37
0.407,60,35.12,2,0,8,10,189.99,60,60,0.49,0,1,0.1,50,15,60,2,-11.67,10,0.1,50,15,30,1.16,-15,10,0.1,50
0.366,60,39.19,2,0,10,10,218.64,60,60,0,0,1,0.1,50,15,60,2,-6.66,10,0.1,50,15,30,0.6,-15,10,0.1,228.8
